EMS,DPN,MPN,Supplier,Designation,Designation2,Family,Price,Currency,Origin,Valid_From,MOQ,Incoterm,LT(wk),TYPE
Bosch,DPN000604,220nF 25V 10% 0402 X5R,_Generic_,CAP CER 220NF 25V 10% 0402 X5R,"Capa Ceram 0.22uF, 25V, 10%  X5R 0402 SMD",Passives - Ceramic capacitors,"0,65",JPY,BOM Bosch Paula 20171212,2017-12-12,10000,DDP Mondeville,19,GEN
Bosch,DPN000605,156125M173000,WURTH,LED RGB CLEAR 4SMD BOTTOM ENTRY,"Full-color Reverse mount RGB Led, size 1205",Dicrete - LED,"0,154",EUR,BOM Bosch 20180704,2018-07-04,15000,FCA Meyzieu,8,
Devialet,DPN000605,156125M173000,WURTH,LED RGB CLEAR 4SMD BOTTOM ENTRY,"Full-color Reverse mount RGB Led, size 1205",Dicrete - LED,"0,149",EUR,manufacturer quote,2020-07-22,12000,,,
Bosch,DPN000606,MMSZ5253BT1G,ON SEMI,"DIODE ZENER 25 V, 500 mW, SOD-123",,Dicrete - Diodes,"0,0129",USD,Estimation Laure,2019-07-01,,,,
Bosch,DPN000607,STTH5R06DJF,ST,"Ultrafast recovery diode, 600 V, 5 A, DFN5, Vf=1.55V",STTH5R06DJF-TR,Dicrete - Diodes,"0,38",USD,Bom Bosch PSU-MADH 20200312,2020-03-01,3000,DDP Mondeville,16,
Seprolec,DPN000607,STTH5R06DJF,ST,"Ultrafast recovery diode, 600 V, 5 A, DFN5, Vf=1.55V",STTH5R06DJF-TR,Dicrete - Diodes,"0,39",USD,manufacturer quote,2020-08-25,,CDP,,
Bosch,DPN000609,1N4148WX,MCC,"DIODE  VRM 75V, VF 1V, 100mA SOD323",,Dicrete - Diodes,"0,0091",USD,Bom Bosch PSU-MADH 20200312,2020-03-01,6000,DDP Mondeville,13,
Seprolec,DPN000609,1N4148WX,MCC,"DIODE  VRM 75V, VF 1V, 100mA SOD323",,Dicrete - Diodes,"0,0095",USD,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000612,S1FLM,VISHAY,"Small Signal Switching Diode, 1kV, 500mA, Une, 1.1 V, 1.8s, 22A DO219AB SMD",,Dicrete - Diodes,"0,014",USD,Bom Bosch PSU-MADH 20200312,2020-03-01,50000,DDP Mondeville,20,
Seprolec,DPN000612,S1FLM,VISHAY,"Small Signal Switching Diode, 1kV, 500mA, Une, 1.1 V, 1.8s, 22A DO219AB SMD",,Dicrete - Diodes,"0,0202",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000614,PMEG060V100EPD,NXP,"Diode Low VF Schottky barrier rectifier, 60 V, 10 A, Une, SOT-1289, 3 Broches, 560 mV",,Dicrete - Diodes,"0,1474",USD,Bom Bosch PSU-MADH 20200312,2020-03-01,5000,DDP Mondeville,8,
Seprolec,DPN000614,PMEG060V100EPD,NXP,"Diode Low VF Schottky barrier rectifier, 60 V, 10 A, Une, SOT-1289, 3 Broches, 560 mV",,Dicrete - Diodes,"0,17",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Seprolec,DPN000623,BC847BS,DIODES INC.,TRANS 2NPN 45V 0.1A SC70-6,,Dicrete - Standard transistor,"0,0152",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000630,62K 5% 0402,_Generic_,RES 62K 5% 0402,62k/0402,Passives - Resistors,"0,046",JPY,BOM Bosch 20180704,2018-07-04,10000,DDP Mondeville,16,
Seprolec,DPN000630,62K 5% 0402,_Generic_,RES 62K 5% 0402,62k/0402,Passives - Resistors,"0,004",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000646,760871113,WURTH,WE-UOST Universal Offline Standard Transformers,,Passives - Transformers,"1,69",EUR,Bom Bosch PSU-MADH 20200312,2020-03-01,600,FCA Meyzieu,14,
Seprolec,DPN000646,760871113,WURTH,WE-UOST Universal Offline Standard Transformers,,Passives - Transformers,"1,69",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Tymphany,DPN000646,760871113,WURTH,WE-UOST Universal Offline Standard Transformers,,Passives - Transformers,"1,69",EUR,manufacturer quote,2019-06-03,6000,DDP,,
Bosch,DPN000648,UCC28180,Texas Instruments,IC PFC CTRLR AVERAGE CURR 8SOIC,UCC28180DR,IC - PMIC,"0,387",USD,Bom Bosch PSU-MADH 20200312,2020-03-01,2500,DDP Mondeville,8,
Seprolec,DPN000648,UCC28180,Texas Instruments,IC PFC CTRLR AVERAGE CURR 8SOIC,UCC28180DR,IC - PMIC,"0,363",USD,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000653,TL431FDT,NXP,IC VREF SHUNT ADJ SOT23-3,,IC - PMIC,"0,036",USD,Bom Bosch PSU-MADH 20200312,2020-03-01,3000,DDP Mondeville,16,
Seprolec,DPN000653,TL431FDT,NXP,IC VREF SHUNT ADJ SOT23-3,,IC - PMIC,"0,05",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000655,AO6604,Alpha_and_Omega,MOSFET N/P-CH 20V 6-TSOP,,Dicrete - Power MOSFet,"0,0677",EUR,Bosch20200525,2020-05-01,3000,DDP Mondeville,8,
Seprolec,DPN000655,AO6604,Alpha_and_Omega,MOSFET N/P-CH 20V 6-TSOP,,Dicrete - Power MOSFet,"0,0696",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000659,XFL2006-472MEC,COILCRAFT,FIXED IND 4.7UH 0.44A 665mR Shielded,XFL2006-472ME,Passives - Standard inductors,"0,317",USD,Bosch20200525,2020-05-01,10000,FCA UK,12,
Devialet,DPN000659,XFL2006-472MEC,COILCRAFT,FIXED IND 4.7UH 0.44A 665mR Shielded,XFL2006-472ME,Passives - Standard inductors,"0,32",USD,manufacturer quote,2020-07-15,4000,FCA,6,
Seprolec,DPN000659,XFL2006-472MEC,COILCRAFT,FIXED IND 4.7UH 0.44A 665mR Shielded,XFL2006-472ME,Passives - Standard inductors,"0,327",USD,PACOV3_01-09-2020,2020-09-10,,,,
Tymphany,DPN000659,XFL2006-472MEC,COILCRAFT,FIXED IND 4.7UH 0.44A 665mR Shielded,XFL2006-472ME,Passives - Standard inductors,"0,3265",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN000660,XAL4030-332MED,COILCRAFT,FIXED IND 3.3UH 5.5A 26.0mR 20% 4x4mm,"Power Inductors, Shielded, XAL4030-332,  3.3uH, 20%, DCR 26.0mR, Isat 5.5A, 4x4mm SMD",Passives - Standard inductors,"0,357",USD,Bosch20200525,2020-05-01,10000,FCA UK,8,
Devialet,DPN000660,XAL4030-332MED,COILCRAFT,FIXED IND 3.3UH 5.5A 26.0mR 20% 4x4mm,"Power Inductors, Shielded, XAL4030-332,  3.3uH, 20%, DCR 26.0mR, Isat 5.5A, 4x4mm SMD",Passives - Standard inductors,"0,37",USD,manufacturer quote,2020-07-15,1500,FCA,8,
Seprolec,DPN000660,XAL4030-332MED,COILCRAFT,FIXED IND 3.3UH 5.5A 26.0mR 20% 4x4mm,"Power Inductors, Shielded, XAL4030-332,  3.3uH, 20%, DCR 26.0mR, Isat 5.5A, 4x4mm SMD",Passives - Standard inductors,"0,357",USD,PACOV3_01-09-2020,2020-09-10,,,,
Tymphany,DPN000660,XAL4030-332MED,COILCRAFT,FIXED IND 3.3UH 5.5A 26.0mR 20% 4x4mm,"Power Inductors, Shielded, XAL4030-332,  3.3uH, 20%, DCR 26.0mR, Isat 5.5A, 4x4mm SMD",Passives - Standard inductors,"0,3678",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN000661,XAL4030-472MEC,COILCRAFT,FIXED IND 4.7UH 4.5A 40.1mR 20% 4x4mm,"Power Inductors, Shielded, XAL4030-472, 4.7uH, 20%, DCR 40.1mR, Isat 4.5A, 4x4mm SMD",Passives - Standard inductors,"0,33",USD,Bosch20200525,2020-05-01,10000,FCA UK,8,
Devialet,DPN000661,XAL4030-472MEC,COILCRAFT,FIXED IND 4.7UH 4.5A 40.1mR 20% 4x4mm,"Power Inductors, Shielded, XAL4030-472, 4.7uH, 20%, DCR 40.1mR, Isat 4.5A, 4x4mm SMD",Passives - Standard inductors,"0,37",USD,manufacturer quote,2020-07-15,1500,FCA,8,
Seprolec,DPN000661,XAL4030-472MEC,COILCRAFT,FIXED IND 4.7UH 4.5A 40.1mR 20% 4x4mm,"Power Inductors, Shielded, XAL4030-472, 4.7uH, 20%, DCR 40.1mR, Isat 4.5A, 4x4mm SMD",Passives - Standard inductors,"0,357",USD,PACOV3_01-09-2020,2020-09-10,,,,
Tymphany,DPN000661,XAL4030-472MEC,COILCRAFT,FIXED IND 4.7UH 4.5A 40.1mR 20% 4x4mm,"Power Inductors, Shielded, XAL4030-472, 4.7uH, 20%, DCR 40.1mR, Isat 4.5A, 4x4mm SMD",Passives - Standard inductors,"0,3678",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN000662,XAL6060-153MEC,COILCRAFT,"FIXED IND 15UH 5.8A 43.75mR 20% 6,36x6,56mm",XAL6060-153ME,Passives - Standard inductors,"0,45",USD,Bosch20200525,2020-05-01,10000,FCA UK,8,
Seprolec,DPN000662,XAL6060-153MEC,COILCRAFT,"FIXED IND 15UH 5.8A 43.75mR 20% 6,36x6,56mm",XAL6060-153ME,Passives - Standard inductors,"0,495",USD,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000665,S110FP,FAIRCHILD,"Diode Rectifier, VRRM=110V, VF = 0.8V, IF=1A, SOD-123 SMD",,Dicrete - Diodes,"0,038",USD,Bosch20200525,2020-05-01,9000,DDP Mondeville,13,
Devialet,DPN000665,S110FP,FAIRCHILD,"Diode Rectifier, VRRM=110V, VF = 0.8V, IF=1A, SOD-123 SMD",,Dicrete - Diodes,"0,0423",USD,Fom Paula BOM Flex,2010-01-01,,,,
Seprolec,DPN000665,S110FP,FAIRCHILD,"Diode Rectifier, VRRM=110V, VF = 0.8V, IF=1A, SOD-123 SMD",,Dicrete - Diodes,"0,0385",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Tymphany,DPN000665,S110FP,FAIRCHILD,"Diode Rectifier, VRRM=110V, VF = 0.8V, IF=1A, SOD-123 SMD",,Dicrete - Diodes,"0,0436",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN000667,MX25L1606EZNI-12G,Macronix,IC FLASH 16Mb SPI 86MHZ 8WSON,Mmoire CI FLASH - NOR 16Mb 2M x 8 SPI 86MHz  8-WSON 6x5,Memories - Other non volatile,"0,2",USD,Bosch20200525,2020-05-01,3000,DAP Mondeville,24,
Seprolec,DPN000667,MX25L1606EZNI-12G,Macronix,IC FLASH 16Mb SPI 86MHZ 8WSON,Mmoire CI FLASH - NOR 16Mb 2M x 8 SPI 86MHz  8-WSON 6x5,Memories - Other non volatile,"0,27",USD,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000668,MIC94164YCS,MICROCHIP,IC LOAD SWITCH HI SIDE 3A 6WLCSP,3A High-Side Load Switch with Reverse Blocking,IC - PMIC,"0,28",USD,Bosch20200525,2020-05-01,3000,CIP Mondeville,16,
Devialet,DPN000668,MIC94164YCS,MICROCHIP,IC LOAD SWITCH HI SIDE 3A 6WLCSP,3A High-Side Load Switch with Reverse Blocking,IC - PMIC,"0,28",USD,Fom Paula BOM Flex,2010-01-01,,,,
Tymphany,DPN000668,MIC94164YCS,MICROCHIP,IC LOAD SWITCH HI SIDE 3A 6WLCSP,3A High-Side Load Switch with Reverse Blocking,IC - PMIC,"0,2884",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN000670,MLF1608E120M,TDK,FIXED IND 12UH 0.01A 1.8R 0603,"Inductor Multilayer, 1.8mR, 12UH 0603",Passives - Standard inductors,"3,56",JPY,Bosch20200525,2020-05-01,12000,DDP Mondeville,16,
Devialet,DPN000670,MLF1608E120M,TDK,FIXED IND 12UH 0.01A 1.8R 0603,"Inductor Multilayer, 1.8mR, 12UH 0603",Passives - Standard inductors,"0,0066",USD,Fom Paula BOM Flex,2010-01-01,,,,
Seprolec,DPN000670,MLF1608E120M,TDK,FIXED IND 12UH 0.01A 1.8R 0603,"Inductor Multilayer, 1.8mR, 12UH 0603",Passives - Standard inductors,"0,0425",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Tymphany,DPN000670,MLF1608E120M,TDK,FIXED IND 12UH 0.01A 1.8R 0603,"Inductor Multilayer, 1.8mR, 12UH 0603",Passives - Standard inductors,"0,0016",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN000672,MP1476GTF-Z,MPS,IC REG BUCK ADJ 2A SOT563,MP1476,IC - PMIC Voltage Regulators DCDC,"0,11",USD,Bosch20200525,2020-05-01,5000,CIP Mondeville,12,
Devialet,DPN000672,MP1476GTF-Z,MPS,IC REG BUCK ADJ 2A SOT563,MP1476,IC - PMIC Voltage Regulators DCDC,"0,1078",EUR,,2020-10-01,5000,,22,
Tymphany,DPN000672,MP1476GTF-Z,MPS,IC REG BUCK ADJ 2A SOT563,MP1476,IC - PMIC Voltage Regulators DCDC,"0,1133",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN000685,GRM1885C2A391JA01D,MURATA,CAP CER 390PF 100V 5% 0603 C0G,,Passives - Ceramic capacitors,"0,897",JPY,Bosch20200525,2020-05-01,4000,DDP Mondeville,12,GEN
Bosch,DPN000687,BLM18EG221SN1D,MURATA,FERRITE BEAD 220 OHM 0603 1LN,FERRITE CHIP 220OHM100MHz 2A DCR=50mR 0603,Passives - Ferrites,"1,31",JPY,Bosch20200525,2020-05-01,4000,DDP Mondeville,16,
Seprolec,DPN000687,BLM18EG221SN1D,MURATA,FERRITE BEAD 220 OHM 0603 1LN,FERRITE CHIP 220OHM100MHz 2A DCR=50mR 0603,Passives - Ferrites,"0,0197",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000689,LQG15HS22NJ02D,MURATA,FIXED IND 22NH 0.35A 420MR,"Inductor 22nH LQG15HS22NJ02D, 350mA, 0,42R DCR, 1900MHz 0402 SMD",Passives - Standard inductors,"0,636",JPY,Bosch20200525,2020-05-01,10000,DDP Mondeville,16,
Seprolec,DPN000689,LQG15HS22NJ02D,MURATA,FIXED IND 22NH 0.35A 420MR,"Inductor 22nH LQG15HS22NJ02D, 350mA, 0,42R DCR, 1900MHz 0402 SMD",Passives - Standard inductors,"0,0092",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000690,UCD1K100MCL1GS,NICHICON,CAP ALUM 10UF 20% 80V SMD,,Passives - Chemical capacitors,"6,49",JPY,Bosch20200525,2020-05-01,18000,DDP Mondeville,24,SPC
Devialet,DPN000690,UCD1K100MCL1GS,NICHICON,CAP ALUM 10UF 20% 80V SMD,,Passives - Chemical capacitors,"0,0626",USD,Fom Paula BOM Flex,2010-01-01,,,,SPC
Seprolec,DPN000690,UCD1K100MCL1GS,NICHICON,CAP ALUM 10UF 20% 80V SMD,,Passives - Chemical capacitors,"0,1027",EUR,PACOV3_01-09-2020,2020-09-10,,,,SPC
Tymphany,DPN000690,UCD1K100MCL1GS,NICHICON,CAP ALUM 10UF 20% 80V SMD,,Passives - Chemical capacitors,"0,0645",USD,RFQTWIX,2020-05-26,,,,SPC
Bosch,DPN000691,CAT24C02TDI-GT3A,ON SEMI,EEPROM I2C 2kbit/256o 400kHz SOT-23-5,,Memories - Other non volatile,"0,054",USD,Estimation Laure,2019-07-01,,,,
Bosch,DPN000694,ERA-2AEB6191X,PANASONIC,RES 6.19K 0.1% 1/16W 0402,ERA2AEB6191X,Passives - Resistors,"1,251",JPY,Bosch20200525,2020-05-01,,DDP Mondeville,16,
Devialet,DPN000694,ERA-2AEB6191X,PANASONIC,RES 6.19K 0.1% 1/16W 0402,ERA2AEB6191X,Passives - Resistors,"0,0193",USD,Fom Paula BOM Flex,2010-01-01,,,,
Seprolec,DPN000694,ERA-2AEB6191X,PANASONIC,RES 6.19K 0.1% 1/16W 0402,ERA2AEB6191X,Passives - Resistors,"0,0529",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000697,ERJP06J2R2V,PANASONIC,"Resistor - 0805 2R2 5%, 0.1W, 100ppm, SMD",,Passives - Resistors,"0,26",JPY,Bosch20200525,2020-05-01,10000,DDP Mondeville,20,
Seprolec,DPN000697,ERJP06J2R2V,PANASONIC,"Resistor - 0805 2R2 5%, 0.1W, 100ppm, SMD",,Passives - Resistors,"0,0045",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000698,ERA-6AEB6191V,PANASONIC,RES 6.19K 0.1% 1/8W 0805,"Resistor - 0805 6k19 0.1% 1/8W, SMD",Passives - Resistors,"2,867",JPY,Bosch20200525,2020-05-01,5000,DDP Mondeville,14,
Seprolec,DPN000698,ERA-6AEB6191V,PANASONIC,RES 6.19K 0.1% 1/8W 0805,"Resistor - 0805 6k19 0.1% 1/8W, SMD",Passives - Resistors,"0,0286",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000700,74LVC1G3157FZ4-7,Pericom,IC SWITCH SPDT 6 OHM X2DFN1410-6,SINGLE-POLE DOUBLE-THROW ANALOG SWITCH,IC - Interfaces,"0,0295",EUR,Bosch20200525,2020-05-01,50000,DDP Mondeville,16,
Devialet,DPN000700,74LVC1G3157FZ4-7,Pericom,IC SWITCH SPDT 6 OHM X2DFN1410-6,SINGLE-POLE DOUBLE-THROW ANALOG SWITCH,IC - Interfaces,"0,0212",USD,Fom Paula BOM Flex,2010-01-01,,,,
Tymphany,DPN000700,74LVC1G3157FZ4-7,Pericom,IC SWITCH SPDT 6 OHM X2DFN1410-6,SINGLE-POLE DOUBLE-THROW ANALOG SWITCH,IC - Interfaces,"0,0218",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN000707,SSW-111-02-G-D-RA,SAMTEC,"Conn TRAD 2x11 points angle Socket 2,54mm pitch",,Connectors - Board to Board,"0,577",EUR,Bosch20200525,2020-05-01,5000,DAP Mondeville,8,
Bosch,DPN000709,BAT54SFILM,ST,Rectifier Schottky  40V 300MA SOT23,,Dicrete - Diodes,"0,021",USD,Bosch20200525,2020-05-01,3000,DDP Mondeville,26,
Devialet,DPN000709,BAT54SFILM,ST,Rectifier Schottky  40V 300MA SOT23,,Dicrete - Diodes,"0,02",USD,manufacturer quote,2020-08-25,,CDP,,
Seprolec,DPN000709,BAT54SFILM,ST,Rectifier Schottky  40V 300MA SOT23,,Dicrete - Diodes,"0,0088",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Tymphany,DPN000709,BAT54SFILM,ST,Rectifier Schottky  40V 300MA SOT23,,Dicrete - Diodes,"0,0088",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN000721,MMZ2012R600A,TDK,FERRITE CHIP BEAD 60OHM100MHz 0805 SMD,,Passives - Ferrites,"1,73",JPY,Bosch20200525,2020-05-01,10000,DDP Mondeville,16,
Seprolec,DPN000721,MMZ2012R600A,TDK,FERRITE CHIP BEAD 60OHM100MHz 0805 SMD,,Passives - Ferrites,"0,018",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000724,LM5106SD/NOPB,Texas Instruments,IC GATE DVR HALF BRIDGE 10WSON,LM5106SD,IC - PMIC Gate drivers,"0,388",USD,Bosch20200525,2020-05-01,3500,DDP Mondeville,8,
Devialet,DPN000724,LM5106SD/NOPB,Texas Instruments,IC GATE DVR HALF BRIDGE 10WSON,LM5106SD,IC - PMIC Gate drivers,"0,495",USD,manufacturer quote,2019-02-12,,,,
Seprolec,DPN000724,LM5106SD/NOPB,Texas Instruments,IC GATE DVR HALF BRIDGE 10WSON,LM5106SD,IC - PMIC Gate drivers,"0,55",USD,PACOV3_01-09-2020,2020-09-10,,,,
Tymphany,DPN000724,LM5106SD/NOPB,Texas Instruments,IC GATE DVR HALF BRIDGE 10WSON,LM5106SD,IC - PMIC Gate drivers,"0,5098",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN000725,IHHP1008AZER1R0M01,VISHAY,FIXED IND 1UH 3.2A 60 MOHM SMD,"Power Inductors, Shielded, DCR 45mR, Isat 3.7A, Irms 3.4A, 2.5x2mm SMD",Passives - Standard inductors,"0,0842",EUR,Bosch20200525,2020-05-01,10000,DDP Mondeville,12,
Seprolec,DPN000725,IHHP1008AZER1R0M01,VISHAY,FIXED IND 1UH 3.2A 60 MOHM SMD,"Power Inductors, Shielded, DCR 45mR, Isat 3.7A, Irms 3.4A, 2.5x2mm SMD",Passives - Standard inductors,"0,176",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000726,IHHP1008AZER1R5M01,VISHAY,FIXED IND 1.5UH 2.4A 96 MOHM SMD,"Power Inductors, Shielded, DCR 72mR, Isat 3.1A, Irms 2.45A, 2.5x2mm SMD",Passives - Standard inductors,"0,0842",EUR,Bosch20200525,2020-05-01,10000,DDP Mondeville,12,
Seprolec,DPN000726,IHHP1008AZER1R5M01,VISHAY,FIXED IND 1.5UH 2.4A 96 MOHM SMD,"Power Inductors, Shielded, DCR 72mR, Isat 3.1A, Irms 2.45A, 2.5x2mm SMD",Passives - Standard inductors,"0,13",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000727,IHHP1008AZER2R2M01,VISHAY,FIXED IND 2.2UH 2.2A 124 MOHM,"Power Inductors, Shielded, DCR 94mR, Isat 2.6A, Irms 1.9A, 2.5x2mm SMD",Passives - Standard inductors,"0,0842",EUR,Bosch20200525,2020-05-01,10000,DDP Mondeville,12,
Seprolec,DPN000727,IHHP1008AZER2R2M01,VISHAY,FIXED IND 2.2UH 2.2A 124 MOHM,"Power Inductors, Shielded, DCR 94mR, Isat 2.6A, Irms 1.9A, 2.5x2mm SMD",Passives - Standard inductors,"0,176",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000732,61300511121,WURTH,"Conn TRAD 1x5 points Header 2,54mm pitch",,Connectors - Board to Board,"0,0233",USD,Estimation Laure,2019-07-01,,,,
Bosch,DPN000770,TPD4E05U06DQAR,Texas Instruments,TVS DIODE 5.5V 14V 10SON,4 Channel ESD Protection Device for Super-Speed Up to 6 Gbps  Interface,"Discret - Circuit protection (Fuses, ICL, TVS)","0,062",USD,manufacturer info,2020-04-30,,,,
Devialet,DPN000770,TPD4E05U06DQAR,Texas Instruments,TVS DIODE 5.5V 14V 10SON,4 Channel ESD Protection Device for Super-Speed Up to 6 Gbps  Interface,"Discret - Circuit protection (Fuses, ICL, TVS)","0,069",USD,Estimation Laure,2019-07-01,,,,
Tymphany,DPN000770,TPD4E05U06DQAR,Texas Instruments,TVS DIODE 5.5V 14V 10SON,4 Channel ESD Protection Device for Super-Speed Up to 6 Gbps  Interface,"Discret - Circuit protection (Fuses, ICL, TVS)","0,071",USD,RFQTWIX,2020-05-26,,,,
Devialet,DPN000778,RJ7L0Z-ZWH6-BF9-0R,Speedtech,CONN RJ45 LOW PROFILE SHIELDED,,Connectors - Client interface sockets,"1,5",USD,Fom Bom DialogV2,2010-01-01,,,,
Devialet,DPN000780,HDMI2C1-6C1,ST,IC ESD SIGNAL BOOST HDMI 18QFN,ESD protection and signal booster for HDMI Source control stage interface,"Discret - Circuit protection (Fuses, ICL, TVS)","0,31",USD,manufacturer quote,2020-08-25,,CDP,,
Tymphany,DPN000780,HDMI2C1-6C1,ST,IC ESD SIGNAL BOOST HDMI 18QFN,ESD protection and signal booster for HDMI Source control stage interface,"Discret - Circuit protection (Fuses, ICL, TVS)","0,3811",USD,RFQTWIX,2020-05-26,,,,
Tymphany,DPN000784,ASMB-MTB1-0A3A2,Broadcom,LED RGB PLCC-4 SMD,,Dicrete - LED,"0,152",USD,Fom Bom DialogV2,2010-01-01,,,,
Devialet,DPN000786,U.FL-R-SMT-110,HIROSE,RF Coaxial Connector Receptacle 50 Ohm SMD,U.FL-R-SMT-1(10),Connectors - Inner connection (HP or other),"0,086",EUR,Fom Bom DialogV2,2010-01-01,,,,
Tymphany,DPN000786,U.FL-R-SMT-110,HIROSE,RF Coaxial Connector Receptacle 50 Ohm SMD,U.FL-R-SMT-1(10),Connectors - Inner connection (HP or other),"0,086",EUR,Fom Bom DialogV2,2010-01-01,,,,
Devialet,DPN000788,RB520S30T1G,BOURNS,DIODE SCHOTTKY 30V 200MA SOD523,"Rectifier Schottky Barrier 0,2A 40V",Dicrete - Diodes,"0,0103",EUR,Fom Bom DialogV2,2010-01-01,,,,
Tymphany,DPN000788,RB520S30T1G,BOURNS,DIODE SCHOTTKY 30V 200MA SOD523,"Rectifier Schottky Barrier 0,2A 40V",Dicrete - Diodes,"0,0121",USD,RFQTWIX,2020-05-26,,,,
Devialet,DPN000807,B3FS-1010P,Omron,SWITCH TACT SPST-NO 0.05A 24V,,Connectors - Switch,"0,0985",EUR,Fom Bom DialogV2,2010-01-01,,,,
Tymphany,DPN000807,B3FS-1010P,Omron,SWITCH TACT SPST-NO 0.05A 24V,,Connectors - Switch,"0,0985",EUR,Fom Bom DialogV2,2010-01-01,,,,
Bosch,DPN000809,7427931,WURTH,FERRITE BEAD 91 OHM 2SMD 1LN,742 793 1,Passives - Ferrites,"0,114",EUR,BOM Bosch 20180704,2018-07-04,2000,FCA Meyzieu,8,
Seprolec,DPN000809,7427931,WURTH,FERRITE BEAD 91 OHM 2SMD 1LN,742 793 1,Passives - Ferrites,"0,106",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Tymphany,DPN000809,7427931,WURTH,FERRITE BEAD 91 OHM 2SMD 1LN,742 793 1,Passives - Ferrites,"0,1245",USD,RFQTWIX,2020-05-26,,,,
Bosch,DPN000869,CM1214A-01SO,ON SEMI,TVS DIODE 7V 11.3V SOT23-3,CM1214A-01SO,"Discret - Circuit protection (Fuses, ICL, TVS)","0,0883",USD,BOM Bosch 20180704,2018-07-04,6000,DDP Mondeville,21,
Devialet,DPN000869,CM1214A-01SO,ON SEMI,TVS DIODE 7V 11.3V SOT23-3,CM1214A-01SO,"Discret - Circuit protection (Fuses, ICL, TVS)","0,0858",EUR,Bom Seprolec Dialog V2,2010-01-01,,,,
Bosch,DPN000871,TC4426AEUA,MICROCHIP,IC MOSFET DVR 1.5A DUAL HS 8MSOP,1.5A Dual High-Speed Power MOSFET Drivers,IC - PMIC Gate drivers,"0,65",EUR,Estimation Laure,2019-07-01,,,,
Devialet,DPN000872,ADG452BRUZ,ANALOG DEVICES,IC SWITCH QUAD SPST 16TSSOP,LC2MOS 5 Ohms Ron Quad SPST Switches with dual supply,IC - Interfaces,"1,8",USD,Bom Seprolec Dialog V2,2010-01-01,,,,
Devialet,DPN000874,THS4522IPW,Texas Instruments,IC AOP DIFF 95MHZ RRO 16TSSOP,THS4522IPWR,IC - Linear Amplifier (AOP),"1,53",USD,manufacturer quote,2020-07-23,,CDP,,
Devialet,DPN000876,LM2611AMF/NOPB,Texas Instruments,IC REG CUK ADJ 1.2A SOT23-5,LM2611AMFX/NOPB,IC - PMIC Voltage Regulators DCDC,"0,909",USD,manufacturer quote,2020-07-23,,CDP,,
Devialet,DPN000879,VLS5045EX-220M,TDK,FIXED IND 22UH 2A 162.5mR 20% 5x5mm,,Passives - Standard inductors,"0,15",USD,aupif,2010-01-01,,,,
Seprolec,DPN000881,LHVC0805-1MFT5,Welwyn,RES 1M 1% 1/8W 0805,1M0 1%/0805/1/8W,Passives - Resistors,"0,03",EUR,PACOV3_01-09-2020,2020-09-10,,,,
Bosch,DPN000891,IM46GR,TYCO,RELAY CMS DPCO 12VDC IM46GR,RELAY TELECOM DPDT 2A 12VDC 2 Form C Surface Mount,Relay,"0,62",EUR,Estimation Laure,2019-07-01,,,,
